i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
23,3,"(1, 3)",1,3,1865.57865,1865.500334,0.078315818,76 milliseconds,0
23,4,"(1, 4)",1,4,94.06417701,93.87201496,0.192162051,83 milliseconds,0
23,5,"(2, 6)",2,6,2.79E-12,0.000283901,-0.000283901,52 milliseconds,0
23,6,"(2, 1)",2,1,21285.12033,21279.47405,5.646286476,60 milliseconds,0
23,7,"(1, 5)",1,5,1930.272981,1929.797529,0.475451662,74 milliseconds,0
23,8,"(1, 6)",1,6,197.5099087,196.4174925,1.092416203,64 milliseconds,0
23,9,"(2, 2)",2,2,27689.8116,27623.74419,66.06741452,63 milliseconds,1
23,10,"(2, 3)",2,3,2220.393344,2218.279305,2.114038749,68 milliseconds,0
23,11,"(2, 4)",2,4,4.38E-14,0.000232288,-0.000232288,52 milliseconds,0
23,12,"(1, 1)",1,1,4617.92919,4617.051876,0.877314578,69 milliseconds,0
24,1,"(1, 2)",1,2,6506.411332,6503.744353,2.666979771,69 milliseconds,0
24,2,"(2, 5)",2,5,2442.416504,2425.125628,17.2908762,56 milliseconds,0
24,3,"(1, 3)",1,3,1866.382908,1866.367637,0.015271367,57 milliseconds,0
24,4,"(1, 4)",1,4,95.94968423,95.92504956,0.024634667,72 milliseconds,0
24,5,"(2, 6)",2,6,3.26E-09,0.000190193,-0.000190189,51 milliseconds,0
24,6,"(2, 1)",2,1,21047.53102,21045.5671,1.963921724,58 milliseconds,0
24,7,"(1, 5)",1,5,1931.002514,1930.933709,0.068805445,75 milliseconds,0
24,8,"(1, 6)",1,6,201.3856268,200.9693805,0.416246222,68 milliseconds,0
24,9,"(2, 2)",2,2,27365.61577,27299.47582,66.13994436,55 milliseconds,1
24,10,"(2, 3)",2,3,2345.674155,2322.062601,23.61155378,60 milliseconds,0
24,11,"(2, 4)",2,4,7.37E-14,0.000143535,-0.000143535,50 milliseconds,0
24,12,"(1, 1)",1,1,4607.417704,4607.31159,0.10611382,65 milliseconds,0
25,1,"(1, 2)",1,2,6515.172937,6503.818959,11.35397798,65 milliseconds,0
25,2,"(2, 5)",2,5,2687.827823,2659.896019,27.93180394,50 milliseconds,0
25,3,"(1, 3)",1,3,1866.869957,1866.863545,0.006411994,73 milliseconds,0
25,4,"(1, 4)",1,4,95.99231327,95.95125697,0.041056301,73 milliseconds,0
25,5,"(2, 6)",2,6,2.10E-11,0.000273075,-0.000273075,50 milliseconds,0
25,6,"(2, 1)",2,1,20856.74047,20854.05411,2.68635589,65 milliseconds,0
25,7,"(1, 5)",1,5,1931.51212,1931.486825,0.025294714,65 milliseconds,0
25,8,"(1, 6)",1,6,205.4293988,203.9247158,1.50468303,67 milliseconds,0
25,9,"(2, 2)",2,2,27226.7551,27158.32916,68.42593358,54 milliseconds,1
25,10,"(2, 3)",2,3,2368.396463,2348.780424,19.61603952,65 milliseconds,0
25,11,"(2, 4)",2,4,4.08E-14,0.000159153,-0.000159153,48 milliseconds,0
25,12,"(1, 1)",1,1,4606.902241,4605.504206,1.398034675,66 milliseconds,0
26,1,"(1, 2)",1,2,6502.677992,6499.252942,3.42505043,75 milliseconds,0
26,2,"(2, 5)",2,5,2988.636422,2988.637374,-0.000951993,55 milliseconds,0
26,3,"(1, 3)",1,3,1868.492267,1868.395005,0.097262007,66 milliseconds,0
26,4,"(1, 4)",1,4,97.06325223,96.99942929,0.063822943,75 milliseconds,0
26,5,"(2, 6)",2,6,1.17E-12,0.00029361,-0.00029361,51 milliseconds,0
26,6,"(2, 1)",2,1,20694.73483,20688.87167,5.863152992,63 milliseconds,0
26,7,"(1, 5)",1,5,1933.139072,1933.11493,0.024142052,65 milliseconds,0
26,8,"(1, 6)",1,6,204.0735179,202.3242769,1.749241002,66 milliseconds,0
26,9,"(2, 2)",2,2,26995.41263,26981.1785,14.23413155,66 milliseconds,0
26,10,"(2, 3)",2,3,2315.767139,2281.740929,34.02620956,63 milliseconds,1
26,11,"(2, 4)",2,4,3.62E-14,0.000174851,-0.000174851,51 milliseconds,0
26,12,"(1, 1)",1,1,4602.666217,4602.438246,0.227970875,61 milliseconds,0
27,1,"(1, 2)",1,2,6501.792561,6499.76676,2.025800601,69 milliseconds,0
27,2,"(2, 5)",2,5,3301.51862,3299.261503,2.257117558,54 milliseconds,0
27,3,"(1, 3)",1,3,1869.949242,1869.931495,0.017747033,68 milliseconds,0
27,4,"(1, 4)",1,4,95.92055127,95.78958714,0.130964135,69 milliseconds,0
27,5,"(2, 6)",2,6,7.66E-11,0.000495555,-0.000495555,49 milliseconds,0
27,6,"(2, 1)",2,1,20568.39851,20563.98655,4.41196652,103 milliseconds,0
27,7,"(1, 5)",1,5,1934.093091,1934.087341,0.005750323,70 milliseconds,0
27,8,"(1, 6)",1,6,198.5036378,195.0825669,3.421070866,64 milliseconds,0
27,9,"(2, 2)",2,2,26866.31469,26856.73684,9.577850552,67 milliseconds,0
27,10,"(2, 3)",2,3,2349.15388,2322.55911,26.59477097,57 milliseconds,1
27,11,"(2, 4)",2,4,3.15E-12,0.000289711,-0.000289711,51 milliseconds,0
27,12,"(1, 1)",1,1,4605.65403,4604.209778,1.444251891,66 milliseconds,0
