timestep,region,system,id,variable,value,i
2040,DE,battery < lithiumBattery,1,capaStOut,0.619878271,43
2040,DE,battery < lithiumBattery,1,capaStSize,0.062066,43
2040,DE,battery < lithiumBattery,1,capaStIn,0.619878271,43
none,none,none,none,objectiveValue,63.50346201,43
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-74.03535356,43
2040,DE,solar < rooftopInd,,capaConvDual,-2.639753788,43
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-76.50065968,43
2040,DE,solar < rooftopResi,,capaConvDual,-2.639753788,43
2040,DE,wind < onshore,,capaConvDual,-35.86641884,43
2040,DE,solar < openspace,,capaConvDual,-2.639753788,43
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249705454,43
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,43
2040,DE,wind < offshore,,capaConvDual,-35.86641884,43
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.327471651,43
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConvDual,-74.03535356,43
2040,DE,solar < rooftopInd,,capaConvDual,-2.639753788,43
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConvDual,-76.50065968,43
2040,DE,solar < rooftopResi,,capaConvDual,-2.639753788,43
2040,DE,wind < onshore,,capaConvDual,-35.86641884,43
2040,DE,solar < openspace,,capaConvDual,-2.639753788,43
2040,DE,battery < redoxBattery,1,capaStSizeDual,-0.249705454,43
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSizeDual,-0.072443065,43
2040,DE,wind < offshore,,capaConvDual,-35.86641884,43
2040,DE,battery < lithiumBattery,1,capaStSizeDual,-0.327471651,43
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.284659363,44
2040,DE,solar < rooftopInd,,capaConv,3.540968549,44
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.656658001,44
2040,DE,engine < enginePeak < gasEngine,,capaConv,19.75383458,44
2040,DE,solar < rooftopResi,,capaConv,3.440409133,44
2040,DE,wind < onshore,,capaConv,86.46258714,44
2040,DE,ocgt < ocgtH2,,capaConv,60.17711068,44
2040,DE,solar < openspace,,capaConv,3.576490483,44
2040,DE,battery < redoxBattery,1,capaStOut,6.36E-05,44
2040,DE,battery < redoxBattery,1,capaStSize,0.000204265,44
2040,DE,battery < redoxBattery,1,capaStIn,6.36E-05,44
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.816336415,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,816.3364159,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStIn,0.816336415,44
2040,DE,ocgt < ocgtGas,,capaConv,11.01870824,44
2040,DE,powerToX < synthFuel < methanePyrolysis,,capaConv,5.42E-05,44
2040,DE,wind < offshore,,capaConv,45.67940066,44
2040,DE,battery < lithiumBattery,1,capaStOut,0.615416933,44
2040,DE,battery < lithiumBattery,1,capaStSize,0.061635341,44
2040,DE,battery < lithiumBattery,1,capaStIn,0.615416933,44
2040,DE,powerToX < electrolysis < pemElectrolysis,,capaConv,1.284659363,44
2040,DE,solar < rooftopInd,,capaConv,3.540968549,44
2040,DE,powerToX < electrolysis < alkElectrolysis,,capaConv,1.656658001,44
2040,DE,engine < enginePeak < gasEngine,,capaConv,19.75383458,44
2040,DE,solar < rooftopResi,,capaConv,3.440409133,44
2040,DE,wind < onshore,,capaConv,86.46258714,44
2040,DE,ocgt < ocgtH2,,capaConv,60.17711068,44
2040,DE,solar < openspace,,capaConv,3.576490483,44
2040,DE,battery < redoxBattery,1,capaStOut,6.36E-05,44
2040,DE,battery < redoxBattery,1,capaStSize,0.000204265,44
2040,DE,battery < redoxBattery,1,capaStIn,6.36E-05,44
2040,DE,engine < enginePeak < dieselEngine,,capaConv,0,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStOut,0.816336415,44
2040,DE,powerToX < h2Storage < h2Cavern,1,capaStSize,816.3364159,44
