i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
9,2,"(1, 1)",1,1,3708.0102801875546,1.4424604179028841e-5,3708.0102657629504,87 milliseconds,0.0
9,3,"(2, 2)",2,2,536965.696699009,535224.8895553235,1740.8071436855244,106 milliseconds,0.0
9,4,"(2, 1)",2,1,6447.0786103586715,1.459281169437945e-5,6447.07859576586,105 milliseconds,0.0
10,1,"(1, 2)",1,2,516408.9756750463,514575.8954660893,1833.0802089570207,84 milliseconds,0.0
10,2,"(1, 1)",1,1,782.7235823180807,4.9627978593083145e-5,782.7235326901022,82 milliseconds,0.0
10,3,"(2, 2)",2,2,502971.2481209041,497848.0268303845,5123.221290519577,110 milliseconds,1.0
10,4,"(2, 1)",2,1,2556.7446399668684,5.6623513216924175e-5,2556.7445833433553,100 milliseconds,0.0
11,1,"(1, 2)",1,2,465583.9626927694,453420.0285676974,12163.934125072032,82 milliseconds,1.0
11,2,"(1, 1)",1,1,153.96006310157452,2.4353584674958635e-6,153.96006066621607,82 milliseconds,0.0
11,3,"(2, 2)",2,2,470707.8659732138,469906.4727726426,801.3932005711831,102 milliseconds,0.0
11,4,"(2, 1)",2,1,587.6350460860576,2.5023910348641954e-6,587.6350435836666,100 milliseconds,0.0
12,1,"(1, 2)",1,2,416502.17829469463,416362.87361679267,139.30467790196417,88 milliseconds,0.0
12,2,"(1, 1)",1,1,91.44585224713447,5.699976671191504e-5,91.44579524736776,95 milliseconds,0.0
12,3,"(2, 2)",2,2,437345.2684316808,433056.07421727356,4289.194214407238,106 milliseconds,1.0
12,4,"(2, 1)",2,1,178.3825217575157,6.423055204205841e-5,178.38245752696363,102 milliseconds,0.0
13,1,"(1, 2)",1,2,363887.4143937243,362184.3351578772,1703.079235847108,85 milliseconds,1.0
13,2,"(1, 1)",1,1,69.36459524782607,1.6907571687086572e-5,69.36457834025438,90 milliseconds,0.0
13,3,"(2, 2)",2,2,408904.2928929047,408875.20661836,29.08627454470843,110 milliseconds,0.0
13,4,"(2, 1)",2,1,50.70494203300893,1.886788226080308e-5,50.70492316512667,106 milliseconds,0.0
14,1,"(1, 2)",1,2,314663.6494948461,310853.14116066555,3810.508334180573,90 milliseconds,1.0
14,2,"(1, 1)",1,1,53.55629320205591,6.98731082900259e-5,53.556223328947624,80 milliseconds,0.0
14,3,"(2, 2)",2,2,378371.584166647,378271.1752514107,100.40891523630125,100 milliseconds,0.0
14,4,"(2, 1)",2,1,1.1882543313027137e-10,7.340669759998152e-5,-7.340657877454838e-5,98 milliseconds,0.0
15,1,"(1, 2)",1,2,267889.99310290656,266637.7594205705,1252.2336823360529,80 milliseconds,0.0
15,2,"(1, 1)",1,1,39.12481800111435,4.0982356336668826e-5,39.12477701875801,77 milliseconds,0.0
15,3,"(2, 2)",2,2,346230.8621969977,344794.9807552468,1435.8814417508547,151 milliseconds,1.0
15,4,"(2, 1)",2,1,5.698884211573474e-13,4.176381805925151e-5,-4.176381748936309e-5,87 milliseconds,0.0
16,1,"(1, 2)",1,2,221184.45139338152,215701.58315303456,5482.8682403469575,94 milliseconds,1.0
16,2,"(1, 1)",1,1,30.86940019491374,9.682716679966066e-6,30.86939051219706,70 milliseconds,0.0
16,3,"(2, 2)",2,2,312880.23043240194,312868.49628656293,11.73414583900012,105 milliseconds,0.0
16,4,"(2, 1)",2,1,1.0289436562853387e-12,1.0464847535434077e-5,-1.0464846506490421e-5,90 milliseconds,0.0
17,1,"(1, 2)",1,2,177349.171898912,177323.64589099356,25.526007918437244,86 milliseconds,0.0
17,2,"(1, 1)",1,1,21.97031422870444,2.372746595400796e-5,21.970290501238484,78 milliseconds,0.0
