i,id,s,Ts_dis,scr,actCost,estCost,diff,timeSub,largest
66,1,"(1, 2)",1,2,6536.687321411988,6443.259403054054,93.42791835793378,74 milliseconds,0.0
66,2,"(2, 5)",2,5,5969.861815441529,5969.291335373056,0.5704800684725342,60 milliseconds,0.0
66,3,"(1, 3)",1,3,1950.8792124011882,1884.9285966406917,65.95061576049648,60 milliseconds,0.0
66,4,"(1, 4)",1,4,160.04947228983158,34.89454269978499,125.15492959004659,66 milliseconds,0.0
66,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00019852006542476293,-0.00019852004217868098,48 milliseconds,0.0
66,6,"(2, 1)",2,1,19393.283643227147,19393.075977890312,0.20766533683490707,71 milliseconds,0.0
66,7,"(1, 5)",1,5,1974.5193418137646,1967.2197549855714,7.299586828193242,59 milliseconds,0.0
66,8,"(1, 6)",1,6,286.66392003759023,163.94820372981167,122.71571630777856,66 milliseconds,0.0
66,9,"(2, 2)",2,2,25206.5243372716,25033.44612546956,173.07821180203973,61 milliseconds,1.0
66,10,"(2, 3)",2,3,2308.6183736607977,2299.882245078681,8.736128582116635,62 milliseconds,0.0
66,11,"(2, 4)",2,4,5.946731378611933e-10,0.00011813934630830524,-0.00011813875163516737,50 milliseconds,0.0
66,12,"(1, 1)",1,1,4618.815685457635,4602.136443913551,16.679241544083197,60 milliseconds,0.0
67,1,"(1, 2)",1,2,6536.687321411988,6442.658185054125,94.02913635786263,72 milliseconds,0.0
67,2,"(2, 5)",2,5,5969.861815441529,5914.080573847947,55.78124159358231,59 milliseconds,0.0
67,3,"(1, 3)",1,3,1950.8792124011882,1888.0469133996805,62.832299001507636,58 milliseconds,0.0
67,4,"(1, 4)",1,4,160.04947228983158,35.71237783731917,124.33709445251242,63 milliseconds,0.0
67,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00012761742958526323,-0.00012761740633918128,55 milliseconds,0.0
67,6,"(2, 1)",2,1,19393.283643227147,19371.813869270052,21.46977395709473,61 milliseconds,0.0
67,7,"(1, 5)",1,5,1974.5193418137646,1969.7810945321046,4.738247281660051,60 milliseconds,0.0
67,8,"(1, 6)",1,6,286.66392003759023,164.57520400565434,122.08871603193589,59 milliseconds,0.0
67,9,"(2, 2)",2,2,25214.32041585377,25081.91280130044,132.40761455332904,59 milliseconds,0.0
67,10,"(2, 3)",2,3,2308.6183736607977,2102.011509391815,206.60686426898292,71 milliseconds,1.0
67,11,"(2, 4)",2,4,5.946731378611933e-10,2.986622874440605e-5,-2.986563407126819e-5,50 milliseconds,0.0
67,12,"(1, 1)",1,1,4618.815685457635,4603.906565652925,14.909119804709917,69 milliseconds,0.0
68,1,"(1, 2)",1,2,6536.687321411988,6442.596778034634,94.09054337735415,63 milliseconds,0.0
68,2,"(2, 5)",2,5,5969.861815441529,5856.932016694118,112.92979874741104,90 milliseconds,0.0
68,3,"(1, 3)",1,3,1950.8792124011882,1883.6729849740423,67.2062274271459,66 milliseconds,0.0
68,4,"(1, 4)",1,4,160.04947228983158,33.75743720502447,126.29203508480711,64 milliseconds,0.0
68,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00017521614240022056,-0.0001752161191541386,55 milliseconds,0.0
68,6,"(2, 1)",2,1,19393.283643227147,19346.81662042768,46.467022799468396,65 milliseconds,0.0
68,7,"(1, 5)",1,5,1974.5193418137646,1966.9848736772547,7.534468136509986,71 milliseconds,0.0
68,8,"(1, 6)",1,6,286.66392003759023,163.27990138772697,123.38401864986326,63 milliseconds,0.0
68,9,"(2, 2)",2,2,25214.32041585377,24997.991251187843,216.32916466592724,61 milliseconds,1.0
68,10,"(2, 3)",2,3,2212.3008980639947,2141.3134036699767,70.98749439401809,64 milliseconds,0.0
68,11,"(2, 4)",2,4,5.946731378611933e-10,8.202964134374833e-5,-8.202904667061046e-5,51 milliseconds,0.0
68,12,"(1, 1)",1,1,4618.815685457635,4601.316531789634,17.499153668000872,62 milliseconds,0.0
69,1,"(1, 2)",1,2,6536.687321411988,6441.005667874159,95.68165353782842,73 milliseconds,0.0
69,2,"(2, 5)",2,5,5969.861815441529,5895.721655979932,74.14015946159725,64 milliseconds,0.0
69,3,"(1, 3)",1,3,1950.8792124011882,1880.8334203982706,70.04579200291755,69 milliseconds,0.0
69,4,"(1, 4)",1,4,160.04947228983158,32.070347736579116,127.97912455325246,62 milliseconds,0.0
69,5,"(2, 6)",2,6,2.3246081950094543e-11,0.000165604530717363,-0.00016560450747128106,50 milliseconds,0.0
69,6,"(2, 1)",2,1,19393.283643227147,19322.805827364322,70.47781586282508,55 milliseconds,0.0
69,7,"(1, 5)",1,5,1974.5193418137646,1965.6619730114899,8.857368802274777,70 milliseconds,0.0
69,8,"(1, 6)",1,6,286.66392003759023,162.13141566803932,124.5325043695509,59 milliseconds,0.0
69,9,"(2, 2)",2,2,24882.248910050323,24823.593633581386,58.65527646893679,59 milliseconds,0.0
69,10,"(2, 3)",2,3,2212.3008980639947,1999.377883243039,212.9230148209558,61 milliseconds,1.0
69,11,"(2, 4)",2,4,5.946731378611933e-10,5.666899079177212e-5,-5.666839611863426e-5,50 milliseconds,0.0
69,12,"(1, 1)",1,1,4618.815685457635,4599.00564501092,19.810040446714993,61 milliseconds,0.0
70,1,"(1, 2)",1,2,6536.687321411988,6440.953782245208,95.73353916678025,73 milliseconds,0.0
70,2,"(2, 5)",2,5,5969.861815441529,5913.72603947423,56.135775967299196,57 milliseconds,0.0
70,3,"(1, 3)",1,3,1950.8792124011882,1875.1498406991932,75.72937170199498,64 milliseconds,0.0
70,4,"(1, 4)",1,4,160.04947228983158,29.315979565845595,130.733492723986,59 milliseconds,0.0
70,5,"(2, 6)",2,6,2.3246081950094543e-11,0.00021383883445395835,-0.0002138388112078764,52 milliseconds,0.0
70,6,"(2, 1)",2,1,19393.283643227147,19246.66728082939,146.61636239775544,64 milliseconds,0.0
70,7,"(1, 5)",1,5,1974.5193418137646,1962.1332671584955,12.386074655269113,56 milliseconds,0.0
